,Type,Age,Breed1,Gender,Color1,Color2,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Fee,Description,PhotoAmt,AdoptionSpeed
1840,Dog,72,Wheaten Terrier,Female,Brown,Gray,Medium,Medium,Yes,Yes,Healthy,0,"Mocha is an adorable doggie but she is very passive and subdued. Will run away and hide. She is timid and need a patient owner. If you think you can give her a loving home, call me. No tying up or caging.",4,3
1841,Cat,24,Abyssinian,Female,Black,Brown,Medium,Long,Not Sure,Not Sure,Healthy,0,This cat is open for adoption.Well groomed.Anything pls contact me at.Thanks.,1,2
1842,Dog,3,Mixed Breed,Female,White,No Color,Medium,Medium,No,No,Healthy,0,"My sister-in-law's brother saw Ann Ann(安安)wandering around the street alone.so he decided to rescue & temporarily fostered in my place. I haven't take her to the veterinary yet(hopefully this weekend if I've got time).But I see no injury nor any scar & she is very playful,I had to put her on top of car to avoid her playing with other dogs & captured these images. please do not hesitate to call me at or my sister-in-law at (Malay or Mandarin preferred).",30,2
1843,Dog,4,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Yes,Healthy,0,"These puppies were rescued from factory area... their mother have been spayed already.. there were 18 pups.. now left 10 puppies all brown all female... If no one adopts them, they will grow up to live as a homeless factory area dog living on the streets and they could get caught by the town council sooner or later or get hit by heavy trucks They may not look as cute or pretty as they are now much bigger... but please spare a space in your heart and your home for one of this little ones so they dont have to live on the streets in the future and suffer the faith of a street dog..tq.",5,4
1844,Cat,1,Domestic Short Hair,Male,Black,No Color,Small,Short,Not Sure,Not Sure,Healthy,0,"Blacky is a small kitten looking for a home. It was found wondering near our unit (apartment). It loves to be carried and cuddle. It has big grey eyes. If interested, pls contact",4,2
1845,Dog,2,Mixed Breed,Male,Black,Brown,Small,Short,Yes,No,Healthy,0,Contact Furry Friends Farm for more further info on adopting this cute and adorable puppy !,3,4
1846,Cat,5,Oriental Short Hair,Male,White,No Color,Medium,Short,Yes,No,Healthy,0,"Malibu is a sweet and loving cat, very affectionate and would do well with other pets. He is still young and playful. He has not been neutered but if you want to adopt, I would be willing to pay for the fees to get it done.",1,2
1847,Dog,3,Beagle,Female,Brown,White,Medium,Short,Yes,No,Healthy,0,Puppy found on roadside.Quiet nature but friendly once you get to know her.Right hind paw slightly deformed but then it should not be a hindrance to her to be given a chance to love and be loved.,3,3
1848,Cat,15,Domestic Medium Hair,Female,Golden,White,Medium,Medium,Yes,Not Sure,Healthy,1,free adoption,1,3
1849,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,0,Cute and intelligent puppies looking for a good home. No tying or caging for long hours except for precautionary purposes commitment to spay her is compulsory Serious adopter pls call me.,2,1
1850,Dog,24,Mixed Breed,Male,Black,White,Medium,Medium,No,No,Healthy,0,"For serious adopter, please do call or msg for more details, thanks!",5,1
1851,Dog,5,Mixed Breed,Female,Brown,No Color,Medium,Medium,Yes,Yes,Healthy,0,"It's me FAITH. I'm a 5 month old female..I promise that I will be your loyal companion till the end. If you have FAITH in me, please call.",1,3
1852,Dog,12,Jack Russell Terrier,Female,White,No Color,Small,Short,Yes,Not Sure,Healthy,0,"Slyvia was rescued from the street at Kampar, roaming on her own and dirty. She has exactly the feature and physics of a JRT, except her coat is white. She has very good temperament and is a good house dog that guard the house too. As I have a new job assignment, I will need to travel often starting March, I will want to give her to good and responsible dog owner. Let me know if you are interested. She is now staying at Shah Alam. My mobile is. Please call only if you are a responsible dog owner. Thanks.",2,3
1853,Cat,3,Domestic Short Hair,Female,Black,Brown,Small,Short,Yes,No,Healthy,0,"Hi, My name is Culat. I was rescued by a kind human when I was trying to cross 3 lanes road. I was so afraid at that time and all I could think is to cross the road.I want to search for my mum. She picked me up and hold me gently. I remembered feeling so comfortable and safe. She said to me that it was so dangerous to cross a road plus it was green light turn. I didn't know what green light is but likes the way she treated me. She and her friend took me home and gave me a good bath. Since then I have a place to call home and feel so happy .I have a playmate and her name is Debby. I love to play with Debby. But when I want to sleep, I will search for my big brother, Abg Don. I love to snuggle with him ;)",5,0
1854,Cat,2,Domestic Short Hair,Male,Black,Yellow,Medium,Short,No,No,Healthy,50,Jillo is a male kitten very active and playful Love to mingle around human diet:blackwood for kitten Litter Train Adoption fees: RM adoption fees is for maintenance of food and sand for other cat COD at Bandar Sunway/Caltex in front of Sunway Pyramid Please call/Whatsapp Affi at,4,3
1855,Dog,2,Mixed Breed,Male,Brown,Cream,Medium,Medium,No,No,Healthy,0,"Justy is one of 3 siblings abandoned at a hawker stall. Playful & active with the rest of siblings (Jerry & Emmy), eating, sleeping & playing.",1,2
1856,Cat,30,Japanese Bobtail,Female,Black,Golden,Medium,Medium,Yes,Yes,Healthy,0,"As we were unable to take her with us, Zelda is now with the SPCA in Ampang. She is still looking for a new home.",2,2
1857,Dog,36,Poodle,Female,Cream,No Color,Small,Long,Not Sure,No,Healthy,0,the owner has asthma n x longer able to care for it...i think its a pure poodle but it has a cherry eye on one of its eyes...been keeping it in my shop for a while n would love it if anyone would like to take it n care for it,0,1
1858,Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,0,Please call to adopt/view Luki.,5,3
1859,Dog,48,Cocker Spaniel,Male,Brown,No Color,Medium,Medium,Yes,No,Healthy,200,"Belongs to a friend who has just shifted to a condo and not able to keep more than one dog, she has three, one already given away. Jojo is an adorable dog, very close to human and would be a good pet dog. Pic will only be sent to those who is interested to adopt.",0,2
1860,Cat,5,Tabby,Male,Black,Gray,Medium,Short,Yes,No,Healthy,0,"Tyson was the last kitten rescued and adopted from a litter of 4 kittens. This is his story. Tyson, borne on 25th July (Monday) with 3 other siblings (all adopted). He endured some hardships during his 1st month as neighbors did not welcome him and the rest of the litter well (as the mother like to move them around between neighbour's garden). On 25th August , I managed to rescued 3 kittens and send to adopter but ""Tyson"" was so well hidden I did not managed to get him until 28th August . I remember it was a rainy night and I found him crying for his mother by the side of a drain. Luckily I managed to capture him without any issue and send him to his new owner ""Sammie""; a foreigner studying here. At that point of time, Sammie said he will be here for another couple of few years and when he decides to go back, he will find a new home for Tyson. But I did not expect to hear from Sammie so soon about him leaving Malaysia permanently by . I made a mistake by letting a foreigner adopt Tyson but I know that Sammie treats Tyson well. So now that you know Tyson a little more, would you be willing to adopt little Tyson? See his pictures below, sent by Sammie to me during the few months they stayed together. **Sammie will pay for spaying expenses before surrendering Tyson.",5,1
1861,Dog,36,Golden Retriever,Male,Golden,No Color,Large,Medium,Not Sure,Not Sure,Healthy,0,Call Joshua for more info. Kindly call him after 5pm till 10 pm.,1,1
1862,Dog,2,Mixed Breed,Female,Cream,White,Medium,Medium,Yes,No,Healthy,0,she is already vaccinated. we have a dog shelter with dogs so we dont charge on adoption but any donations are encouraged for the use of shelter.,2,4
1863,Cat,3,Domestic Short Hair,Female,Black,Gray,Medium,Short,Yes,No,Healthy,0,"Hello, my name is KIKI, cos I have a black nose, look like Mickey Mouse, so auntie want name me ""MICKEY"", since I'm a girl, so she decide call me KIKI. I'm 3-4 month age, I'm a active girl, my voice is clear and nice. I love to playing, jumping, running, look around for explore. may be I need sometime to adjust new home. But after it, Am believe it you are not boring to with me. Rescuer Auntie pick me from behind of her house at 26/Jan/. She take bath with me, make me clean, and bring me to vaccination, but I still need 1 more time at 2 week later. Daily Am eating fresh steam sardine meat, other time is having ""Brit"" dry cat food. I hope YOU can give me a forever home and become your family. Cos Rescuer auntie already have 6 Cats & 3 Dogs, she can't have me anymore. Here is some of my photo. I hope you will like and bring me with you in your LIFE. ** Adopter have to promise not to make her be STRAY CAT at future, and must return the cat to me if you want to surrender **always keep her indoor**",19,1
1864,Dog,72,Mixed Breed,Male,Cream,No Color,Medium,Medium,Yes,Yes,Healthy,0,"Fei Fei is a very friendly dog. I met him at a place where there's a very kind-hearted lady, who kept over dogs with her and provide them ample space and foods. Fei Fei kept following me and welcome me to his place. Fei Fei is a very gentle dog, he likes to stick with human and keep following human without disturbing. The shelter place is nearby Batu 14 Ulu Langat, where is just beside the fish pond. This women plants passion fruits and feed them with passion fruits as tea time! It would be highly appreciated if new owner willing to pay RM-rm as sponsor/donation to this this women to ease her financial burden as to keep over dogs.",5,4
1865,Cat,2,Domestic Short Hair,Female,Black,Yellow,Medium,Short,No,No,Healthy,0,"Minnie is a little darling girl. She's playful. Loves climbing trees and poles. Loves attention! Very affectionate and once she warms up to you, you'll be so happy you adopted her! p/s: Pick up only at Ampang :)",7,3
1866,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Medium,No,No,Healthy,0,"The puppy fostered at my friend's house at Sg. Long, Selangor. I hope animal lovers can help to adopt the puppy and take good care of him. Please don't feel hesitate to call me.The puppy confirmed adopted by Louise's family.",3,1
1867,Dog,1,Mixed Breed,Female,Black,Brown,Large,Short,No,No,Healthy,50,i found a puppy by roadside today..and its urgent for someone to adopt it as i'm a chinese islam..so i can't take care of it..the puppy is really small and i cant keep any longer or my grandma will throw it away...anyone interested pl sms me ASAP..RM 50 is to make sure u take care it well...it look like rottweiler but i'm not sure..don know its female or male ,2,2
1868,Dog,14,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,i rescue this homeless dog 2 years ago but my parents did not allow me to keep it at home so i keep it at my hostel. every sem break i need to send my dog to a pet shop for my sem break vacation for about 1 month that cause about hundreds ringgit. i am a student and i cannot afford to keep it since i need to send to the pet shop every 3 month. i have no more money left. this is the last time i will send it to the pet shop for my CNY holiday. i hope to help her to find an owner. i do not want to abandon it at street. thx alot. pls help me,2,4
1869,Dog,2,Mixed Breed,Female,Brown,No Color,Small,Short,Yes,No,Healthy,0,"Mimi was following my bro's bike on the main road and fell inside a drain. She was rescued and has been vaccinated, dewormed and deticked. Mimi is cute, healthy and playful. Currently, she is under the care of the fosterer at Seremban. If anyone would like to adopt Mimi, Kindly contact me at /. Transportation can be arranged. Thank you.",3,2
1870,Dog,18,Mixed Breed,Female,Black,Golden,Medium,Short,Yes,Yes,Healthy,0,Louise is believed to be an abandoned pet. She is a great watchdog and has a good temperament. Looking for a good home. No tying up or caging unless for short periods. Please call if u can give her a second chance.,10,4
1871,Cat,36,Domestic Short Hair,Female,Yellow,No Color,Large,Short,Yes,No,Healthy,0,Adorable shy cat.,10,4
1872,Cat,6,Domestic Medium Hair,Female,Brown,Gray,Medium,Long,Not Sure,Not Sure,Healthy,0,putih kucing betina berusia lebih kurang 6bln..diberi percuma kepada pencinta kucing yang boleh menyayangi dan menjaganya dengan baik..harap boleh menjaga nya didalam rumah dan diberikan vaksin dan spay kan ea.. **for cat lover only - whatsapp/call,6,0
1873,Dog,2,Mixed Breed,Female,Brown,Cream,Medium,Short,No,No,Healthy,0,"Jill was found the night after the flood that devastated Penang. Found crying and alone at a bottom at a hill slope at midnight. I went out to look for her in after hearing her constant cries for an hour. No mother dog was around. We suspect she could have rolled down from somewhere at the top of the slope. She was no more than 2 weeks old at the time. She is now a strong and active puppy. She is very lively, friendly and is playful. Eats very well. Due to personal constraints, I was unable to foster her. Therefore, she was placed under a paid fosterer and is now still being cared for by the paid fosterer. I am willing to drive her to Ipoh or KL if you are outside Penang and is interested in adopting her.",6,3
1874,Cat,2,Domestic Short Hair,Female,Black,Golden,Small,Short,No,No,Healthy,0,"Colour : calico Umur : 2 months Sex : Female Remarks: - the kitten is very healty n active - dh ble mkn kibble - toilet train - location at pandan indah, ampang - for pet lovers only Anyone interested please sms me : thaks",3,1
1875,Cat,12,Domestic Medium Hair,Male,Yellow,No Color,Medium,Long,No,No,Healthy,0,"1 male cat for adoption.Cik Oren sangat manja dan friendly. kepada sesiapa yg berada di sekitar Taiping,Ipoh atau mana2 daerah di negeri Perak yang berminat dengan si comel ini boleh hubungi saya..terima kasih..",5,4
1876,Cat,6,Domestic Short Hair,Female,Black,Gray,Small,Short,Not Sure,Not Sure,Healthy,0,Female kitten found at Kota Kemuning Econsave carpark. Wearing a collar with a flower brooch. Pls call to claim ur cat. Or anyone interested to adopt?,4,2
1877,Cat,2,Domestic Short Hair,Female,Black,Brown,Small,Short,No,No,Healthy,0,"My fren rescued Amanda d Tortieshell at her neighbourhood at Bandar Puteri Puchong. Amanda T is very cute, smart little cat and very active. Now I put her togather with Lady W family for nursing. She is very playfull and love to play with Lady-W little children. Anyone interested to adopt her, please contact me.",13,3
1878,Dog,1,Mixed Breed,Female,Brown,Golden,Small,Short,No,No,Healthy,0,She is cute and she know how to sit and shake hand,2,4
1879,Dog,1,Mixed Breed,Female,Black,White,Medium,Short,No,No,Healthy,0,"Cutie was rescued, after being separated from her mother and siblings. She is a real sweetheart, very friendly, playful and so so adorable. Nice soft black fur.",5,2
1880,Dog,12,Basset Hound,Male,Black,Brown,Small,Short,Not Sure,Not Sure,Minor Injury,0,"SEREMBAN AREA -Found injure beside Jalan Mantin,opposite Tmn Chap Yik,near Petronas and bukit mika.Spotted on 6/2/11 night. -No collar Kindly contact",3,0
1881,Dog,3,Mixed Breed,Female,Black,No Color,Medium,Short,Yes,No,Healthy,0,"Xena is a very adventurous, warrior dog who will guard your house and be your loyal companion! Call me if interested :)",2,2
1882,Dog,1,Mixed Breed,Male,Brown,No Color,Medium,Short,No,No,Healthy,0,"Its my cat's kitten n i cant keep more than 2 cats. So im looking for a new home for the small n very very very cute kitten. Looking only for people who realy love cats n want to take care of a cat. If u r interested pls call Putra Heights Section 9, Subang Jaya",0,2
1883,Dog,60,Rottweiler,Male,Black,Brown,Large,Short,Yes,No,Healthy,0,"He is a male and 5yrs old. He is very friendly and playful.But I cant take care of it anymore because I've to move to other place.So i hope you can adopt it and its urgently.Thanks.Feel free please call or email me to ask for any enquiries, I'll be very please to answer you. my contact number(Mr Loo)",1,3
1884,Dog,1,Mixed Breed,Female,Brown,Cream,Medium,Short,No,No,Healthy,0,Sweety is so calm and adorable. She is such a pleasant one to watch when she walks around sniffing for food. She is about 1 1/2 months old. Call or to view. A must view,3,2
1885,Cat,8,Egyptian Mau,Male,Black,Gray,Medium,Medium,Yes,Not Sure,Healthy,100,This cat was with me since he 3 months baby. I can't take care anymore because I'm moving to another place. He is very active and smart.,5,4
1886,Dog,12,Mixed Breed,Male,Brown,No Color,Large,Short,Yes,Yes,Healthy,0,"PLEASE HELP FIND BOBBY A HOME...Bobby has been abandoned by his owner and was knocked down by a car. He was at the vet's for a month and since his discharge, my sister has been fostering him. She can't keep him because she has already got three! The irresponsible owner does not want to take him back and did not even pay for his medical bill. Can someone please help to give poor Bobby a loving home or please help him find a home? The accident has left him walking with a limp but other than that he is in excellent health. Thank you!",4,0
1887,Dog,132,Jack Russell Terrier,Female,Brown,White,Small,Short,Yes,No,Healthy,0,A Jack Russel Terrier for adoption. Comes from a lovi home. She was my dad's but he passed away and there's no one to look after her as my mom is not in a good shape to do so. I'm working overseas most of the time so I'm searching for a loving home for her urgently. She's toilet trained. Have to walk her about 3-4 times a day to pass urine/motion. Super obedient and she will really love you. She's surprisingly still very energetic for her age and is healthy. Because she was a lost dog I guess she had trouble with her teeth and some are missing. Yes my father took her home when he found her at the street. Small size and have white and brown fur. She's alright around small children too.,3,4
1888,Cat,6,Domestic Short Hair,Male,Black,Brown,Small,Short,Yes,Yes,Healthy,100,"Mini is a very small kitten.. at 6 mths, he looked like a 4 mths old kitten. He is very greedy.. playful and quiet kitten. Loves to be on his own, gets along very well with all cats and dogs. Very gentle and sweet kitten. He is vaccinated, dewormed and neutered. He was picked up when he was 5 weeks old. He has a bob tail.",3,3
1889,Cat,0,Birman,Male,Black,Gray,Medium,Medium,Yes,Yes,Healthy,10,cute,0,4
1890,Dog,1,Mixed Breed,Male,Golden,No Color,Medium,Short,No,No,Healthy,0,Healthy Puppy for adoption. Available for adoption from Mid August onwards.,1,2
1891,Dog,2,Mixed Breed,Female,Black,No Color,Medium,Short,Yes,No,Healthy,0,"Little Herbie was the only girl from the 5 siblings delivered by her mother. All her bothers found their loving home except for Herbie. She is a loving little girl who just loves running around having fun. If you have a soft spot for Herbie and would like her to be part of your family, just leave your comments here. Adoption requirement : a) Herbie must be spayed when she reached her maturity b) Adopter must be an animal lover and preferably have experience in handling dog. c) No long hour of caging or tied on leash. d) Provide necessary medical needs (vaccinations, deworming, flea/tick/heartworm prevention etc.) e) Walk her regularly with plenty of exercise f) Provide progress update and add us on facebook If you are interested, please contact me",3,2
1892,Cat,3,Oriental Short Hair,Female,Brown,White,Medium,Short,Not Sure,Not Sure,Healthy,0,If you are interested to adopt pls contact Rachel,2,2
1893,Cat,3,Domestic Short Hair,Male,Black,Brown,Medium,Short,No,No,Healthy,0,Found him at a repair vehicle shop. very active and healthy. adopter must bring to vaccine+deworm. give him a sweet home.,3,3
1894,Dog,4,Mixed Breed,Female,Yellow,White,Medium,Short,No,No,Healthy,0,"hey there ! this is Leah which I name her She has 6 other sisters Leah had short tail And smart too, good to be house loving pet ! Interested...pls contact TQ! :)",2,4
1895,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,0,Puppy for adoption. My neighbour rescued the puppy beside rubbish bin. She is friendly and healthy. Just need a forever home for her. Pls email me  if you are able to adopt this lovely gal.,1,4
1896,Dog,60,Belgian Shepherd Dog Sheepdog,Male,Brown,No Color,Medium,Medium,Not Sure,No,Healthy,0,Max is a mix and once quoted by a vet as a Belgian Shepherd look a like. It is a playful and lovely dog.,1,2
1897,Dog,60,Spitz,Male,Black,White,Small,Medium,Yes,Yes,Healthy,0,".: I as the owner decided not to give up on Zorro, so he has been with me all these while..however, im in need of favor and am looking for a temporary fosterer ...tops 3 months or less..preferably someone with landed property and very gentle with Zorro as he is quite a scaredy cat..he is afraid of strangers and large dogs but he is very sweet once he knows you. preferably someone staying nearby seputeh, brickfields, midvalley , bangsar area as i would be dropping by to pick him up for grooming or replenish his food. Yes all his stuff will be provided: -his favourite kibbles -his favourite wet food -his favourite treats -his towel, shampoo, conditioner, brush -his vitamins Anything he needs i will provide and i usually send him for full grooming once in 2 months or once a month depending on the weather. Like now its blazing hot so i will send him for grooming before giving him to the fosterer. If there is anyone interested let me know and of course i would need to scan through the fosterer as Zorro means a lot to me. If you are planning to get a dog for a pet but not sure if you can handle well this is your chance to have a pooch at ur place temporary to see if dogs suitable for u.. Zorro is a sweet dainty little dog.. He can be quite shy with strangers but once he is used to u, he can be very hyper when he wants to play. Though he is 5 years old, he can still behave like an excited puppy. He loves jumping around and skipping..He loves to 'lepak' in a small space like under his cage or the washing machine or the couch. He is very alert when i call for him and he knows quite a number of commands like sit, down , stay , no , in etc but his signature trick is ""malu"" and that's when he'll cover his eyes with his paws.Since he is a smart fella, i believe there are still room for him to learn new things.. Whenever i take him for a walk i dont need a leash bcoz he wont stray far for me and it will always be him who wants to go back inside. He is only meant for serious adopter who is a genuine animal lover looking for a lifetime companion. I would appreciate much if I could send him to his new home if there is any kind-hearted soul out there willing to take him and make him part of your family.",2,4
1898,Dog,10,Mixed Breed,Male,White,No Color,Medium,Short,Yes,Yes,Healthy,300,PacPac is an affectionate and gentle puppy. He has giant ears and heart to match. Come visit this adorable pooch at our adoption centre soon! We have over one hundred gorgeous rescued dogs available for adoption at our rehabilitation centre in Bandar Makhota Cheras. We are looking for loving homes that can offer: *a clean environment with no cages or chains *regular exercise and affection *adequate nutrition and healthcare All adoptions require a house-check before being finalised. www.klpoochresortandrescue.org,2,4
1899,Dog,2,Mixed Breed,Female,White,No Color,Medium,Short,No,No,Healthy,0,Hello there. I'm white as snow and pretty as snow white. I'm hoping to be adopted once I reach 3months old. I promise to be always cute and loving. . Please call or to adopt me.,2,1
1900,Dog,3,Mixed Breed,Male,Brown,Cream,Small,Long,Not Sure,Not Sure,Healthy,0,"I did picked this pity puppies from the ditch near my house. He got some skin problem, but I am sure after give him some treatment, he looks nice and handsome.",1,4
1901,Dog,4,Mixed Breed,Female,Black,White,Large,Medium,No,No,Healthy,0,"Puppy was found in OUG area, appears to be about 4 months old. Very gentle and sociable, she loves the company of humans and is very obedient. She really loves her baths, and she would lie down quietly to allow us to scrub her belly.",1,1
1902,Dog,5,Mixed Breed,Female,Black,No Color,Medium,Medium,Yes,No,Healthy,0,"Dreamer is affectionate and loves to be with people. Very obedient and she knows it when she does something wrong. She can be your all time best friend Requirements for Adoption: ========================= Cost of vaccinations and neutering to be borne by adopter.Vaccinations and neutering/spaying at 6 months of age are COMPULSORY. If you are interested in adopting,kindly contact me by call or sms - Please do not submit an inquiry if you are not serious about adopting.",15,3
1903,Dog,4,Mixed Breed,Male,White,No Color,Medium,Short,Not Sure,No,Healthy,0,"Hi, found this lil boy pup estimated abt 4 mths old near Dominos  Damansara Jaya. vet gave him a clean bill of health except for an old fracture on it hind leg. dewormed, no ticks/fleas. Happy active lil boy in need of fosterers/adopters or its owner (if any). Just showered too! :D PS/ will be up for adoption if no one claims it by thursday!",1,1
1904,Cat,3,Siamese,Female,Black,Gray,Medium,Medium,Yes,No,Healthy,150,"She has a deep blue eyes, very active healthy girl, timid at times, but very friendly when she gets to know you, very manja, is looking for a good owner's for her, must have to spay her when it comes on time!",6,2
1905,Cat,6,Domestic Short Hair,Female,Yellow,White,Medium,Long,No,No,Healthy,0,"Hi, Anyone want to adopt my little cat.Please call my mobile number ya .",1,4
1906,Dog,72,Labrador Retriever,Female,Cream,No Color,Large,Medium,Yes,Yes,Healthy,700,"Niu was abandoned at subang industrial. Found her during cny this year. she is spayed and also had her medical check up. The medical check up is important to determine her health. She loves humans, children and dogs..But Not cats. I will only release Niu to genuine lab lover that could give her the best of care and home..and no financial issue on her maintenance and medical expenses.",6,3
1907,Dog,2,Mixed Breed,Male,Black,No Color,Medium,Short,No,No,Healthy,0,"My mummy just gave birth to me.. 1 month ago. ..We live in a shelter now. Although i love the shelter with all my new friends, i think i need a family to live with. Im pure black. Im gonna look so handsome once i grow up. I heard people here say pure black furkids are lucky! Im still drinking mummys milk. But once im done please pick me up and bring me to your home!!",3,1
1908,Cat,5,Domestic Short Hair,Female,Brown,Gray,Medium,Short,No,No,Healthy,0,"Arya is a rescue kitten. She was found, alone, under a car on the streets. She was severely dehydrated, constipated, malnourished and was fighting an infection at the time of the rescue. She was taken to the vet to be dewormed and to get the proper medication. Since then (3 months), Arya has recovered and has grown into a cute and playful kitten. Arya is really playful and enjoys the outdoors. She is a keen explorer, but she will always come back. Arya is also very fond of cuddling. She will sometimes curl up on your lap or even lay next to you and sleep. Arya is also quite intelligent, she finds her way back. She is also adorable because she will follow you around and will greet you at the door (when you come home). She is friendly with other humans and is good with kids (but sometimes she's a bit too playful and jumps around). Arya is really an adorable cat. She is still small and growing. Ever since rescuing her, she has grown so much and is stronger and better now. I would love to watch her grow and take care of her, but my circumstances don't allow me to do that. Arya deserves a proper home and an owner who will commit, love and care for her.",5,4
1909,Dog,1,Mixed Breed,Male,Black,No Color,Medium,Medium,No,No,Healthy,0,"Please adopt this poor puppy! He is the only survivor during his mother's delivery. To help solving the problem of stray dogs, my family has done our part to adopt a female dog. However, our ability does not allow us to adopt another female dog. This ends up the puppy's mother to reproduce and give birth again. We will be very grateful if anyone of you are willing to adopt the little puppy and/or his mother!",5,1
1910,Dog,24,Mixed Breed,Female,Black,White,Small,Medium,Yes,Yes,Healthy,0,"Rescued dog.. Super friendly , cheerful and playful . Deserves a deserves a loving care free home. Low maintanence and so easy to handle !",3,4
1911,Dog,18,Cocker Spaniel,Male,Golden,No Color,Medium,Long,Yes,No,Healthy,300,"Whisky was surrendered when his owner moved in to an apartment. He is friendly and enjoy walking. He is attached to human and requires affectionate cares. We highly recommend him for family with young kids or retirees. A total of RM will be charged to cover the cost of his spaying, vaccination and deworming fee. Receipt and medical card will be provided. We are opening request for any interested adopter for Whisky. Only genuine dog lover will be considered. If you have the heart for Whisky, please see our requirement below : 1) Adopter must be a Malaysian or a PR. 2) Adopter must be an animal lover and preferably have experience in handling dog. 3) No long hour of caging or tied on leash. 4) Provide necessary medical needs (vaccinations, deworming, flea/tick/heartworm prevention etc.) 5) Adopter must add us on Facebook so we can receive his progress update. 6) During the initial stage of adoption, allow visitation so we can ensure Whisky is adjusting well to his new environment. For this reason, adopter residing in Klang Valley is highly preferred. 7) Approval for this adoption is only for the successful adopter. Whisky cannot be transferred to third party without seeking our permission. If you're interested, please contact me by sms or e-mail. Provide us your details (particular, type of house and experience with dog).",3,3
1912,Dog,18,Mixed Breed,Female,Black,No Color,Medium,Medium,Yes,Yes,Healthy,0,Mimi is healthy and friendly and can get along with anybody. She was found hanging nearby the house so akind aunty has fostered and spayed her. Now she is up for adoption. Thank you,3,4
1913,Cat,3,Domestic Short Hair,Female,Black,Brown,Small,Short,No,No,Healthy,0,"Kiti Cat was found hiding in my car last month. I rescued her and now Kiti Cat is a healthy and happy kitten. She is very playful, energetic, likes chasing feet and climbing. She litters in tray. I must admit that I have no experience in raising cat, so I sincerely hope that you will adopt her and take good care of her. Many thanks in advance.",9,3
1914,Dog,3,Mixed Breed,Female,Black,No Color,Small,Medium,Not Sure,No,Healthy,0,"Missy was found by a friend of mine abandoned along Jalan Gasing. Fearing for her safety, he has taken Missy home. She has a really good personality and shows signs of being a good watchdog. Missy is currently with Mr Sanker. He can be contacted directly on or contact me to connect with Mr Sanker.",2,2
1915,Dog,72,Rottweiler,Female,Black,Brown,Large,Medium,Yes,Yes,Healthy,0,For Adoption,7,3
1916,Dog,84,Cocker Spaniel,Male,Brown,Golden,Medium,Medium,Not Sure,No,Healthy,0,Very healthy... owner shifting... loves children..,1,4
1917,Cat,2,Domestic Medium Hair,Female,Gray,No Color,Medium,Short,No,No,Healthy,0,Today Pistachio found a new Home :) Thank you dear Aina!,5,1
1918,Cat,7,Tortoiseshell,Female,Black,Yellow,Medium,Medium,Yes,Yes,Healthy,0,Emma was found trapping in a drain in a heavy raining day when she was about 2months old. But sadly until now she still couldn't find a good home.. Emma is a super cute girl and most of the time looks like a bear. Has a good temperament and able to mix with the other cats well. Is manja with human (ˊ● ω ●ˋ) ♥♥ Interested to adopt? We wish adopter would agree to do so.. - Strictly NO caging for long period - Agree to bring adopted pet for yearly vaccination - Provide balanced meals and fresh water all the time - Allow for home visit - Love and treat adopted pet like your own precious family members Please give a home to Emma ♥,5,4
1919,Cat,4,Domestic Medium Hair,Male,Black,Gray,Medium,Medium,Not Sure,Not Sure,Healthy,0,"i was named after master yoda simply because at birth i strangely bore a similar resemblance to him and, escaped death many a time! i'm a survivor & an affectionate one too.",2,4
1920,Dog,0,Mixed Breed,Female,Brown,No Color,Medium,Short,No,Yes,Healthy,0,2 of my dogs leads me to them while we are having routine hill track. No mum is there to take care of 5 siblings.,5,1
1921,Cat,2,Domestic Short Hair,Male,Brown,Cream,Small,Short,No,No,Healthy,0,Active and calm kitten rescued n now for adoption. healthy PLS CALL for more info/viewing/adoption. thks,3,2
1922,Cat,2,Domestic Short Hair,Male,Black,Brown,Medium,Short,No,No,Healthy,0,"Le Tigre aka Tiggy is the smallest of the litter, however his personality makes up for his size. very playful, with bounds of energy. a bit shy but affectionate when he's used to you. has a distinctive ""moustache"", which is one of his appealing qualities. has a sister, bearbarella that would be ideal if they were adopted together.available to adopt in march",3,2
1923,Cat,12,Domestic Short Hair,Male,Brown,No Color,Medium,Short,Yes,Yes,Healthy,0,"Have been with us a few months now. However,Jay cannot mingle with other cats in the house.",2,4
1924,Cat,17,Domestic Short Hair,Female,Black,Gray,Small,Short,Yes,Not Sure,Minor Injury,0,"I found this little cat a year ago on the street, one of her back legs got injured. Vet said she can't be FULLY recover anymore, but we did give some traditional medicine for few months. N now she's able to walk, run, n very playful. She's very clean, so smart and really know how to behave. She's in KL at the moment (my friend is taking care of her) but we just have to go back to Indonesia. N I could not find anyone to adopt her. Please.. Contact me if any of you or your friends interested.. Or my friend who's taking care of her right now: Steven. THANK YOU.",4,3
